what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1335871761236
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1335871761244
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1335871761246
os,sysinfo,,,"win32",1335871761250
arch,sysinfo,,,"x86",1335871761250
ws,sysinfo,,,"win32",1335871761250
locale,sysinfo,,,"nl_NL",1335871761250
processors,sysinfo,,,"8",1335871761250
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1335871761251
java.runtime.version,sysinfo,,,"1.6.0_31-b05",1335871761251
java.specification.name,sysinfo,,,"Java Platform API Specification",1335871761251
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335871761251
java.specification.version,sysinfo,,,"1.6",1335871761251
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1335871761251
java.version,sysinfo,,,"1.6.0_31",1335871761251
java.vm.info,sysinfo,,,"mixed mode",1335871761251
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1335871761251
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1335871761251
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335871761251
java.vm.specification.version,sysinfo,,,"1.0",1335871761251
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1335871761251
java.vm.version,sysinfo,,,"20.6-b01",1335871761251
started,bundle,com.android.ide.eclipse.adt,17.0.0.v201203161636-291853,"com.android.ide.eclipse.adt",1335871762261
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1335871762338
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335871763378
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335871769354
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1335871771088
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.101.v201201031437,"org.eclipse.jst.ws.jaxws.dom.integration",1335871771131
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1335871771271
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1335871771418
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335871775294
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1335871788278
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335871793022
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335871814615
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335871820424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335871853975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1335871853991
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1335871861804
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1335871861822
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1335871861885
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1335871861886
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1335871862528
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335871864763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335871888709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335871900744
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1335871902683
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335871907904
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1335871909714
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1335871909794
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1335871910123
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1335871910968
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1335871911169
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335871911899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335871911979
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1335871912015
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335871912015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335871914748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335871955966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1335871955979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335871962177
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335872056856
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1335872056867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335872190395
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1335872194933
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1335872194935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335872195086
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1335872195091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335872197104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335872258144
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335872295178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335872298999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335872307573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335872330752
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1335872330978
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1335872330990
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1335872331000
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335872331048
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1335872331519
opened,view,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui.views.tasks",1335872331839
activated,perspective,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.JavaPerspective",1335872331859
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1335872331865
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1335872334424
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335872338769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335872468752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335872486865
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1335872496283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335872497153
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335872497248
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1335872497327
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1335872508233
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1335872508255
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1335872508320
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1335872508340
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1335872508500
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1335872508509
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1335872508778
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1335872508964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335872671832
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335872720902
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1335872729674
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873072870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873073128
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1335873263531
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1335873263991
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1335873264165
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873267652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873268048
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873270706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873272166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873273000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873276717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873283886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873285212
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873285396
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873305211
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873321999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873323417
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873323810
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873327134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873344811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873344932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335873597143
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335874860905
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335874875498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335875184281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335875232329
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335875282934
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335875284685
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335877337698
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335884719333
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335884728395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335884730637
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335884730826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335884732512
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335884738572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335884740373
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1335884740657
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1335884741156
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1335884741205
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1335884741312
